shipper_id,company_id,shipper_name,shipper_segment,origin_hub,contract_start
angkutprima_cust_0275,angkutprima,Warung Pangan Sehat 275,Menengah,Jawa,2024-06-17
angkutprima_cust_0276,angkutprima,Warung Anugerah Prima 276,Menengah,Sumatera,2024-03-06
angkutprima_cust_0277,angkutprima,UD Sinar Abadi 277,Menengah,Indonesia Timur,2024-10-11
angkutprima_cust_0278,angkutprima,UD Fashion Lokal 278,Menengah,Indonesia Timur,2024-02-26
angkutprima_cust_0279,angkutprima,Warung Anugerah Prima 279,Korporasi,Jawa,2024-03-03
angkutprima_cust_0280,angkutprima,Warung Nusantara Digital 280,Korporasi,Indonesia Timur,2024-10-05
angkutprima_cust_0281,angkutprima,UD Berkah Mandiri 281,Korporasi,Jawa,2024-09-15
angkutprima_cust_0282,angkutprima,UD Tekno Rimba 282,UMKM,Sumatera,2024-04-26
angkutprima_cust_0283,angkutprima,CV Berkah Mandiri 283,UMKM,Indonesia Timur,2024-08-27
angkutprima_cust_0284,angkutprima,Warung Anugerah Prima 284,UMKM,Jawa,2024-12-10
angkutprima_cust_0285,angkutprima,UD Mitra Dagang 285,Menengah,Sumatera,2024-05-27
angkutprima_cust_0286,angkutprima,Warung Nusantara Digital 286,UMKM,Jabodetabek,2024-01-28
angkutprima_cust_0287,angkutprima,CV Maju Jaya 287,Menengah,Sumatera,2024-04-03
angkutprima_cust_0288,angkutprima,Toko Batik Cantik 288,UMKM,Sumatera,2024-10-05
angkutprima_cust_0289,angkutprima,CV Sinar Abadi 289,Menengah,Jabodetabek,2024-07-03
angkutprima_cust_0290,angkutprima,Warung Citra Sejahtera 290,UMKM,Jawa,2024-07-19
angkutprima_cust_0291,angkutprima,PT Maju Jaya 291,Menengah,Jawa,2024-09-04
angkutprima_cust_0292,angkutprima,Warung Rumah Nyaman 292,Korporasi,Jabodetabek,2024-04-14
angkutprima_cust_0293,angkutprima,PT Anugerah Prima 293,Korporasi,Jawa,2024-01-06
angkutprima_cust_0294,angkutprima,Warung Laut Biru 294,UMKM,Jawa,2024-03-26
angkutprima_cust_0295,angkutprima,UD Bumi Lestari 295,Korporasi,Jabodetabek,2024-07-07
angkutprima_cust_0296,angkutprima,CV Berkah Mandiri 296,UMKM,Jawa,2024-12-15
angkutprima_cust_0297,angkutprima,PT Fashion Lokal 297,Menengah,Indonesia Timur,2024-01-20
angkutprima_cust_0298,angkutprima,Toko Berkah Mandiri 298,Korporasi,Jabodetabek,2024-02-22
angkutprima_cust_0299,angkutprima,Warung Maju Jaya 299,Menengah,Jabodetabek,2024-06-28
angkutprima_cust_0300,angkutprima,PT Anugerah Prima 300,Menengah,Jabodetabek,2024-03-01
